Qualité du sommeil,Rythme cardiaque,Étapes quotidiennes,Durée du sommeil
6,77.0,4200.0,6.1
6,75.0,10000.0,6.2
6,75.0,10000.0,6.2
4,85.0,3000.0,5.9
4,85.0,3000.0,5.9
4,85.0,3000.0,5.9
6,82.0,3500.0,6.3
7,70.0,8000.0,7.8
7,70.0,8000.0,7.8
7,70.0,8000.0,7.8
6,70.0,8000.0,6.1
7,70.0,8000.0,7.8
6,70.0,8000.0,6.1
6,70.0,8000.0,6.0
6,70.0,8000.0,6.0
6,70.0,8000.0,6.0
5,80.0,4000.0,6.5
6,70.0,8000.0,6.0
5,80.0,4000.0,6.5
7,70.0,8000.0,7.6
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.9
7,70.0,8000.0,7.8
7,70.0,8000.0,7.9
7,70.0,8000.0,7.9
7,70.0,8000.0,7.9
5,78.0,4100.0,6.4
5,78.0,4100.0,6.4
8,69.0,6800.0,7.9
6,72.0,5000.0,6.1
7,70.0,8000.0,7.7
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
7,70.0,8000.0,7.6
7,70.0,8000.0,7.6
7,70.0,8000.0,7.6
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
8,70.0,8000.0,7.5
8,70.0,8000.0,7.5
6,72.0,5000.0,6.0
7,70.0,8000.0,7.6
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
7,70.0,8000.0,7.7
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
7,70.0,8000.0,7.7
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
8,68.0,7000.0,7.2
6,72.0,5000.0,6.0
6,76.0,5500.0,6.2
6,76.0,5500.0,6.2
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
4,81.0,5200.0,5.8
4,81.0,5200.0,5.8
7,70.0,5600.0,6.7
7,70.0,5600.0,6.7
8,70.0,8000.0,7.5
8,68.0,7000.0,7.2
8,65.0,5000.0,7.2
8,65.0,5000.0,7.2
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,70.0,8000.0,7.5
7,84.0,3300.0,7.4
8,68.0,7000.0,7.2
8,68.0,7000.0,7.1
8,68.0,7000.0,7.2
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
5,74.0,4800.0,6.6
8,68.0,7000.0,7.2
5,74.0,4800.0,6.6
6,77.0,4200.0,6.1
8,68.0,7000.0,7.8
8,68.0,7000.0,7.8
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,70.0,8000.0,7.5
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
7,84.0,3300.0,7.4
8,68.0,8000.0,7.2
5,80.0,4000.0,6.5
7,75.0,5500.0,6.9
9,67.0,7500.0,8.0
9,67.0,7500.0,8.0
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,73.0,7300.0,7.2
8,73.0,7300.0,7.2
8,68.0,8000.0,7.9
8,68.0,8000.0,7.9
8,70.0,8000.0,7.6
8,72.0,6200.0,7.3
7,72.0,6000.0,7.1
7,72.0,6000.0,7.1
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.6
8,70.0,8000.0,7.6
8,70.0,8000.0,7.6
6,72.0,6000.0,6.5
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,78.0,5000.0,6.8
6,78.0,5000.0,6.8
7,65.0,6000.0,6.7
6,72.0,6000.0,6.3
7,65.0,6000.0,6.7
6,72.0,6000.0,6.5
7,65.0,6000.0,6.7
6,72.0,6000.0,6.4
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,69.0,6800.0,6.9
8,68.0,6800.0,7.6
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.8
8,70.0,8000.0,7.7
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,72.0,6000.0,6.5
7,65.0,6000.0,6.6
6,72.0,6000.0,6.4
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.5
6,72.0,6000.0,6.3
