Année,Période,AVG HRS par jour Sleeping,Erreur standard,Type de jours,Tranche d'âge,Activité,Sexe
2003,Annual,8.57,0.018,Tous les jours,15 ans et plus,Dormir,Les deux
2004,Annual,8.55,0.026,All days,15 years and over,Sleeping,Both
2005,Annual,8.62,0.023,All days,15 years and over,Sleeping,Both
2006,Annual,8.63,0.024,All days,15 years and over,Sleeping,Both
2007,Annual,8.57,0.024,All days,15 years and over,Sleeping,Both
2008,Annual,8.6,0.023,All days,15 years and over,Sleeping,Both
2009,Annual,8.67,0.023,All days,15 years and over,Sleeping,Both
2010,Annual,8.67,0.024,All days,15 years and over,Sleeping,Both
2011,Annual,8.71,0.026,All days,15 years and over,Sleeping,Both
2012,Annual,8.73,0.026,All days,15 years and over,Sleeping,Both
2013,Annual,8.74,0.027,All days,15 years and over,Sleeping,Both
2014,Annual,8.8,0.025,All days,15 years and over,Sleeping,Both
2015,Annual,8.83,0.027,All days,15 years and over,Sleeping,Both
2016,Annual,8.79,0.028,All days,15 years and over,Sleeping,Both
2017,Annual,8.8,0.027,All days,15 years and over,Sleeping,Both
2003,Annual,8.26,0.023,Nonholiday weekdays,15 years and over,Sleeping,Both
2004,Annual,8.25,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2005,Annual,8.35,0.03,Nonholiday weekdays,15 years and over,Sleeping,Both
2006,Annual,8.33,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2007,Annual,8.29,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2008,Annual,8.3,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2009,Annual,8.39,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2010,Annual,8.38,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2011,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2012,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2013,Annual,8.48,0.036,Nonholiday weekdays,15 years and over,Sleeping,Both
2014,Annual,8.54,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2015,Annual,8.59,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2016,Annual,8.5,0.037,Nonholiday weekdays,15 years and over,Sleeping,Both
2017,Annual,8.53,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2003,Annual,9.29,0.026,Weekend days and holidays,15 years and over,Sleeping,Both
2004,Annual,9.25,0.032,Weekend days and holidays,15 years and over,Sleeping,Both
