qualité du sommeil;temps au lit;activité (étapes);rythme cardiaque
 100%; 8: 32;0;59.0
3%;0:16;0;72.0
98%;8:30;0;57.0
65%;7:32;0;
72%;6:44;0;68.0
83%;7:12;0;60.0
78%;7:14;0;
78%;7:18;0;57.0
69%;7:27;0;56.0
74%;7:35;0;64.0
81%;9:19;0;62.0
88%;7:16;0;58.0
77%;9:01;0;65.0
89%;8:50;0;65.0
78%;8:08;0;53.0
100%;9:11;0;65.0
100%;8:06;0;55.0
88%;7:13;0;60.0
87%;7:22;0;60.0
83%;6:51;0;94.0
93%;7:51;0;57.0
58%;7:12;0;67.0
16%;1:13;0;58.0
75%;8:00;0;54.0
80%;8:02;0;60.0
87%;7:42;0;75.0
87%;9:19;0;58.0
83%;7:35;0;66.0
76%;7:37;0;57.0
67%;7:05;0;63.0
93%;8:03;0;62.0
64%;7:13;0;56.0
75%;7:49;0;61.0
72%;7:32;0;61.0
70%;7:07;0;57.0
89%;8:17;0;61.0
85%;8:17;0;58.0
59%;8:00;0;60.0
67%;7:36;0;57.0
69%;6:49;0;53.0
74%;7:04;0;60.0
78%;6:13;0;65.0
70%;6:45;0;55.0
77%;7:40;0;66.0
72%;7:00;0;55.0
92%;8:55;0;56.0
87%;8:02;0;60.0
69%;7:49;0;62.0
65%;5:54;0;
90%;7:54;0;61.0
88%;9:29;0;62.0
61%;7:43;0;62.0
54%;9:19;0;68.0
86%;7:50;0;58.0
69%;7:25;0;61.0
99%;8:50;0;67.0
82%;8:01;0;71.0
77%;7:40;0;63.0
72%;7:36;0;60.0
82%;7:00;0;62.0
75%;7:32;0;54.0
91%;8:03;0;62.0
74%;6:49;0;66.0
75%;8:22;0;65.0
84%;8:07;0;58.0
76%;7:22;0;
92%;8:03;0;54.0
82%;6:57;0;64.0
84%;7:32;0;55.0
95%;8:17;0;
79%;8:53;0;55.0
100%;9:01;0;51.0
81%;6:52;0;52.0
80%;7:27;0;
85%;7:50;0;
97%;7:36;0;52.0
84%;7:36;0;58.0
78%;7:25;0;57.0
81%;7:01;0;63.0
82%;6:59;0;58.0
59%;7:32;0;53.0
77%;7:40;0;58.0
77%;7:39;0;67.0
87%;7:26;0;
100%;9:00;0;61.0
70%;7:07;0;64.0
77%;7:21;0;59.0
53%;7:18;0;59.0
77%;6:52;0;60.0
65%;7:46;0;91.0
83%;7:54;0;62.0
50%;7:34;0;59.0
89%;7:34;0;54.0
61%;5:03;0;75.0
66%;6:48;0;50.0
75%;7:03;0;55.0
72%;6:47;0;59.0
79%;7:28;0;51.0
93%;10:46;0;59.0
91%;7:41;0;59.0
59%;7:02;0;62.0
74%;6:38;0;60.0
73%;7:33;0;
67%;7:47;0;61.0
85%;7:23;0;
69%;6:56;0;
81%;7:49;0;52.0
72%;7:03;0;76.0
76%;7:59;0;57.0
78%;7:00;0;64.0
70%;5:25;0;
23%;1:55;0;57.0
75%;7:39;0;58.0
69%;7:19;0;
83%;7:54;0;
92%;9:04;0;68.0
74%;7:25;0;
81%;7:34;0;
88%;7:48;0;64.0
69%;7:59;0;
63%;7:31;0;
71%;6:20;0;
78%;7:13;0;
76%;6:48;0;
10%;0:46;0;
82%;7:43;0;58.0
98%;9:31;0;69.0
69%;8:31;0;74.0
68%;7:03;0;
79%;7:42;0;67.0
86%;8:14;0;
93%;7:50;0;58.0
68%;8:07;0;58.0
71%;6:34;0;61.0
88%;8:00;0;64.0
77%;6:49;0;64.0
97%;9:06;0;
3%;0:15;0;
88%;6:59;0;68.0
71%;7:14;0;
81%;7:38;0;
78%;7:19;0;57.0
97%;7:37;0;54.0
65%;5:02;0;
72%;8:58;0;50.0
84%;7:46;0;
58%;7:00;0;56.0
85%;7:14;0;
90%;8:12;0;57.0
79%;8:12;0;51.0
69%;7:23;0;58.0
88%;8:07;0;
90%;7:49;0;52.0
83%;7:30;0;52.0
67%;7:48;0;
90%;8:30;0;
93%;8:26;0;60.0
85%;7:59;0;62.0
84%;8:00;0;66.0
77%;7:46;0;
85%;7:59;0;65.0
77%;7:33;0;57.0
87%;8:04;0;
84%;7:27;0;61.0
86%;8:01;0;
83%;7:29;0;
77%;6:46;0;
81%;7:35;0;
81%;7:47;0;
83%;7:56;0;
70%;7:40;0;
80%;8:20;0;59.0
60%;7:22;0;56.0
55%;6:23;0;
