qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
;;;
73%;28810.2;4746.0;0.0
86%;30461.5;4007.0;0.0
77%;25327.6;6578.0;0.0
78%;25698.4;4913.0;0.0
72%;26278.2;4020.0;0.0
73%;27705.2;5133.0;0.0
78%;26488.8;4927.0;0.0
84%;26819.9;6637.0;0.0
88%;26304.2;4298.0;0.0
71%;28708.4;4741.0;0.0
73%;26417.5;6110.0;0.0
74%;25882.0;3999.0;0.0
75%;25422.7;5811.0;0.0
92%;27976.8;5256.0;0.0
73%;29627.1;5286.0;0.0
85%;25888.3;4188.0;0.0
97%;30908.4;11111.0;0.0
75%;27427.0;11651.0;0.0
84%;26737.4;7521.0;0.0
100%;32414.1;7373.0;0.0
75%;25941.1;703.0;0.0
87%;33543.0;7657.0;0.0
81%;29015.9;3240.0;0.0
77%;25974.2;7252.0;0.0
76%;29884.8;6679.0;0.0
87%;27443.1;1095.0;0.0
85%;28172.3;5268.0;0.0
90%;29209.3;5385.0;0.0
68%;25371.4;6441.0;0.0
86%;27100.1;10110.0;0.0
88%;36709.5;1177.0;0.0
66%;29258.1;9383.0;0.0
65%;25411.6;4934.0;0.0
86%;29327.3;10232.0;0.0
72%;22622.4;12379.0;0.0
69%;22515.2;7004.0;0.0
69%;30790.3;497.0;0.0
62%;27808.7;7203.0;0.0
68%;26854.1;4547.0;0.0
71%;27090.8;3733.0;0.0
87%;29313.2;7485.0;0.0
68%;21278.6;6540.0;0.0
65%;28013.7;20781.0;0.0
71%;23576.4;2493.0;0.0
87%;30402.3;1817.0;0.0
94%;28710.4;9034.0;0.0
83%;29974.9;4083.0;0.0
99%;28935.2;10803.0;0.0
53%;20426.8;5241.0;0.0
58%;29548.9;7143.0;0.0
78%;28106.8;4203.0;0.0
86%;28423.8;603.0;0.0
88%;28181.0;1784.0;0.0
72%;25895.5;10156.0;0.0
84%;30902.0;4257.0;0.0
54%;27499.4;4041.0;0.0
92%;27262.4;4935.0;0.0
66%;23285.4;3285.0;0.0
87%;30343.5;8026.0;0.0
72%;25813.0;8556.0;0.0
84%;25696.6;5046.0;0.0
80%;27628.7;241.0;0.0
100%;29844.2;4256.0;0.0
89%;29370.5;6618.0;0.0
82%;25807.0;2169.0;0.0
75%;25740.3;7872.0;0.0
78%;24276.4;6248.0;0.0
80%;27940.4;5069.0;0.0
100%;35417.0;3889.0;0.0
94%;29313.7;2217.0;0.0
81%;31639.8;22366.0;0.0
86%;30158.1;4028.0;0.0
100%;30144.7;5072.0;0.0
77%;22933.3;10122.0;0.0
77%;23103.8;9566.0;0.0
100%;31328.8;5519.0;0.0
73%;26617.4;4262.0;0.0
71%;24037.7;3865.0;0.0
72%;25744.7;3837.0;0.0
77%;25999.7;4237.0;0.0
86%;27955.7;5012.0;0.0
94%;27774.0;2281.0;0.0
100%;33594.3;2764.0;0.0
94%;27915.1;10333.0;0.0
95%;29254.5;4822.0;0.0
94%;26706.1;5267.0;0.0
80%;26354.0;6322.0;0.0
82%;26826.9;4289.0;0.0
94%;30852.8;531.0;0.0
73%;26162.9;6333.0;0.0
76%;27404.8;4801.0;0.0
75%;26928.2;4366.0;0.0
93%;30100.7;5200.0;0.0
94%;29993.9;5364.0;0.0
97%;29160.9;2830.0;0.0
74%;25111.7;7118.0;0.0
79%;24737.6;2779.0;0.0
82%;27870.1;192.0;0.0
90%;30984.1;4439.0;0.0
80%;25990.2;3272.0;0.0
76%;26835.6;949.0;0.0
90%;28578.9;8733.0;0.0
77%;24041.5;1184.0;0.0
87%;27184.4;2559.0;0.0
80%;26259.8;1710.0;0.0
77%;27377.2;5126.0;0.0
75%;28827.4;2746.0;0.0
87%;27851.0;2124.0;0.0
86%;28493.1;1626.0;0.0
70%;25074.0;2765.0;0.0
75%;21074.6;2435.0;0.0
75%;25815.2;3057.0;0.0
59%;24721.1;8483.0;0.0
67%;25671.1;2745.0;0.0
62%;24220.1;4497.0;0.0
72%;26408.2;4745.0;0.0
82%;26934.7;3973.0;0.0
92%;30859.9;2370.0;0.0
85%;32477.8;4003.0;0.0
78%;25201.0;6853.0;0.0
49%;27716.2;2263.0;0.0
72%;25767.1;2394.0;0.0
88%;29120.9;2404.0;0.0
88%;29341.1;3922.0;0.0
70%;38656.7;5140.0;0.0
64%;24303.4;7430.0;0.0
68%;28849.8;3814.0;0.0
81%;28506.4;2604.0;0.0
70%;28453.8;1606.0;0.0
80%;32187.9;946.0;0.0
82%;28014.3;3283.0;0.0
77%;34317.3;4527.0;0.0
57%;28003.1;6107.0;0.0
73%;26342.1;3060.0;0.0
83%;27131.6;3991.0;0.0
92%;32681.6;3816.0;0.0
92%;31685.9;2368.0;0.0
78%;33709.4;7632.0;0.0
75%;26853.2;7076.0;0.0
75%;27029.4;3601.0;0.0
78%;27643.3;3832.0;0.0
91%;25538.1;5259.0;0.0
56%;24810.5;3551.0;0.0
75%;30034.6;5003.0;0.0
86%;28458.4;3939.0;0.0
100%;30409.7;3301.0;0.0
87%;31181.5;3352.0;0.0
96%;27748.7;7011.0;0.0
88%;27801.4;2708.0;0.0
95%;31266.4;4046.0;0.0
68%;25875.5;3140.0;0.0
94%;31301.9;3381.0;0.0
100%;33401.2;3453.0;0.0
93%;29016.1;6132.0;0.0
100%;28093.2;7488.0;0.0
84%;29672.6;1968.0;0.0
80%;25587.1;2662.0;0.0
100%;35584.8;4203.0;0.0
83%;27213.8;4436.0;0.0
86%;25970.0;4416.0;0.0
92%;27984.5;3680.0;0.0
84%;25816.8;4091.0;0.0
100%;32407.6;2122.0;0.0
99%;28991.7;4100.0;0.0
100%;33245.2;14631.0;0.0
100%;33283.0;166.0;0.0
68%;25769.4;2646.0;0.0
100%;30190.1;7571.0;0.0
80%;25467.7;6955.0;0.0
94%;29486.7;5631.0;0.0
66%;29274.3;6949.0;0.0
80%;31615.2;220.0;0.0
87%;37530.3;7927.0;0.0
89%;28851.3;6381.0;0.0
83%;25567.6;2040.0;0.0
70%;24919.3;2439.0;0.0
76%;27036.0;3000.0;0.0
100%;30169.5;9082.0;0.0
97%;31186.8;1418.0;0.0
79%;26100.5;1522.0;0.0
78%;26190.4;6994.0;0.0
81%;27094.2;5266.0;0.0
85%;25817.5;5406.0;0.0
